	x1	x2	y
0	9.209286590507231	7.144694893795763	1
1	6.966830935073171	1.2182059079292498	1
2	5.653968458430478	3.7114123964796084	0
3	5.436557373814816	3.654949594923656	1
4	6.5793570273135025	5.089488499734799	1
5	7.159400497006815	2.374861943192982	0
6	1.9492024834820136	2.8817045831961643	0
7	5.571595352746245	6.910778703892563	1
8	6.805159888835813	8.50497436557558	1
9	6.475278915701622	4.796866856924841	1
10	6.6838565405285895	4.064202569382214	1
11	1.1406759558669473	6.434814830188484	0
12	4.824315487711044	2.707153219582005	0
13	3.493308072783512	2.6159775394914693	0
14	0.5349498283448021	3.906200356265588	0
15	3.318744902235751	4.671209449369409	1
16	8.66841091209232	8.360640325603324	1
17	3.696114072584159	4.2134427307389295	0
18	4.268848636777253	6.389766951042099	1
19	8.531243736026763	0.8797490829813028	1
20	3.8856510950986816	2.083916729321256	1
21	2.894302879252791	9.006174978750424	1
22	1.0431299893582664	6.785956980992882	0
23	0.894355771214333	6.267419551831264	1
24	6.61180017658334	2.2602059458316157	1
25	7.051826917609219	2.020484844246485	0
26	3.6776106893442577	6.7405149865691785	1
27	0.8917758367592366	9.333779584148562	1
28	4.153493356068444	2.121146308042922	0
29	8.307942027694917	7.833356526771373	1
30	7.650424084340268	3.7387006380886874	1
31	6.273952695570068	0.8460722749552462	1
32	1.2161076029463875	0.9350133055976947	0
33	4.96647243543149	8.589336136001895	1
34	3.1705850103152144	1.6162034642895975	0
35	3.205834180486019	2.903362631116643	0
36	4.318121905792681	8.037192572314838	1
37	3.508201317409231	6.421572956528941	1
38	5.846485080929564	9.442746946864249	1
39	8.259095263681164	1.0243215570025574	1
40	7.763238809049984	3.9132303179540417	1
41	8.038293687677305	8.969173451589665	1
42	7.598408467588076	5.24429947642477	1
43	1.2247863214707868	9.422979281585011	1
44	7.749834602694889	9.462181733768395	1
45	5.783732062140201	8.05450613537132	1
46	0.9905884525837324	0.6303487306775465	0
47	1.9578931334716008	4.478712807744516	0
48	4.903324745354548	3.06004450997329	1
49	5.000935002624599	9.279630666776288	1
50	4.285938730245641	4.384310713577766	0
51	6.350063608888288	2.328459269251086	0
52	3.2789803053789184	4.384746592858821	0
53	5.989289517577853	5.560712984798787	1
54	7.567111055648104	5.037366189240109	1
55	5.163194979910381	2.1584600944249943	0
56	6.476812443338272	4.981989289953077	1
57	0.9574945978501991	9.20022527380539	1
58	3.362108961044187	7.249765005837964	1
59	6.267943881292433	3.6865792214831226	1
60	5.673357270931929	5.756701994613861	1
61	3.4087210056605786	8.465009374003406	1
62	1.039536652301444	0.9818264582512198	0
63	1.8000588517043812	8.696206293277864	1
64	3.062061416965391	7.9477240893871155	1
65	6.583943171549066	2.732877177128941	1
66	1.8144497290453034	7.449008273105223	1
67	5.801670400646255	0.9994804581428754	1
68	6.334008314673757	3.3956650643028645	1
69	0.9095306914822695	0.8602409589867439	0
70	1.1354868538126799	7.926684711557147	1
71	7.795702721596037	3.2283506353795124	1
72	1.2609978031848537	9.02130452144184	1
73	4.527894413491398	2.9380649579601474	1
74	3.282535934627412	2.34992354696624	0
75	4.441869774972971	5.258607027208477	0
76	8.454663446949871	9.390174359500584	1
77	4.233801216726798	6.137438345845594	0
78	5.700939999805269	6.821039429148127	1
79	1.0971917478101991	8.047521360297425	1
