x1	x2	x3	y
-0.903059443	-0.091598707	12.99465815	0
0.232523592	-0.00457307	12.02204948	1
0.215563247	-0.223808952	12.2582457	1
-0.318781897	-0.051883232	12.62066513	1
0.776825538	-0.609385859	11.83256032	0
-0.005602343	-0.06998021	12.32558255	1
1.070523764	-0.102993444	11.03246968	0
-0.069466993	-0.257258691	12.57672568	1
-0.132545991	0.218016258	12.16452973	1
0.127014751	0.150402301	11.97258295	1
0.156667278	-0.206062471	12.29939519	1
-0.053228881	0.371751888	11.93147699	1
-0.656704265	-0.733316327	13.39002059	0
-0.956269386	-0.337082659	13.29335205	0
-0.140969021	0.120917022	12.270052	1
0.3221823	-0.916231568	12.59404927	0
-0.154646042	0.224743159	12.17990288	1
0.075582397	-0.283106119	12.45752372	1
0.149147364	0.159668695	11.94118394	1
-0.316330272	-1.130297017	13.44662729	0
0.265154075	-0.135771186	12.12061711	1
-0.624404492	0.795305398	11.82909909	0
0.144908825	-0.003240093	12.10833127	1
-0.193783593	-0.010233129	12.45401672	1
-0.030240671	1.180294855	10.84994582	0
-0.469081979	-1.06923209	13.53831407	0
0.91721968	0.374902799	10.70787752	0
-0.173056184	0.091780282	12.3312759	1
0.075978168	-0.239798114	12.41381995	1
1.015575048	0.598746969	10.38567798	0
-0.859397907	0.698269412	12.1611285	0
0.610849428	-0.808502224	12.1976528	0
-0.247108023	-0.009190815	12.50629884	1
0.169010673	-0.892364909	12.72335424	0
0.880693348	-0.778317702	11.89762435	0
0.125039993	-1.107286729	12.98224674	0
-0.421077326	-1.004067363	13.42514469	0
-0.056862916	0.271459491	12.03540342	1
0.442538189	-0.853469041	12.41093085	0
-0.027281289	0.23867306	12.03860823	1
0.679744567	-0.666792272	11.9870477	0
0.989437872	0.676604985	10.33395714	0
0.369210108	-0.129595678	12.01038557	1
-0.391264906	0.825522685	11.56574222	0
0.17411447	1.025335664	10.80054987	0
0.062528672	-0.225929628	12.41340096	1
-0.062859311	-0.224466296	12.53732561	1
0.270193765	-1.026274444	12.75608068	0
-0.980424407	-0.319107199	13.29953161	0
0.161218143	-0.148331998	12.23711386	1
-0.035181414	-0.242921754	12.52810317	1
-0.004560632	0.153482162	12.10107847	1
0.195883407	-0.003510644	12.05762724	1
0.957784069	-0.512236945	11.55445288	0
0.183056053	-0.110109829	12.17705378	1
-0.223161615	0.052836998	12.42032462	1
0.728753665	0.399474081	10.87177225	0
-0.149388859	1.024470365	11.12491849	0
0.322518636	-0.119635052	12.04711642	1
0.032037644	0.175740582	12.04222177	1
0.137988292	-0.105256252	12.21726796	1
0.151568144	0.137415569	11.96101629	1
-0.808316537	-0.595155816	13.40347235	0
0.269463789	-0.081753814	12.06229002	1
0.290363434	-0.23163997	12.19127654	1
0.297606475	0.128224856	11.82416867	1
0.733922029	-0.709097338	11.97517531	0
-0.178350952	0.899569314	11.27878164	0
